t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0658963350955808	0.269783297176092	0.0661785514370203	0.114161253391329	0.357249465089622	0.106230539164956	0.0850261957750434	0.312084727473606	0.0873745992827996	0.0769533554550716	0.304856879214958	0.08185935905887	0.0929942757414488	0.326389325814488	0.0947166532287886
1001	0.0158684966898423	0.166435101201758	0.0271698445420724	0.0353010979378601	0.227075215297611	0.0482372959242829	0.0233604372984485	0.189005393840518	0.0379718465201503	0.0208220506133271	0.183032916364923	0.0362019720155106	0.0275279368661359	0.197197564574075	0.0412459019098325
2001	0.0059986158451125	0.111549870459742	0.0177943177072973	0.0160577893861584	0.167091232212127	0.0295497131846389	0.00829081985108241	0.136505268170907	0.0229712694289063	0.00710486188699269	0.129701922800585	0.0207740564841045	0.00963055518414683	0.142350963415793	0.0242820311819705
3001	0.00209309005479646	0.0841526450161034	0.0111697369519995	0.00712685970755601	0.135719982186594	0.0203628126244594	0.00341107798694084	0.105572595646249	0.01530503685113	0.00269817019086589	0.101123843030927	0.0144256192367777	0.00387111474790424	0.11259441496311	0.0165009175924519
4001	0.000901546836405951	0.0686969609678764	0.00856897460366853	0.00341504753776284	0.109118866278804	0.0145758713204497	0.00138018021457522	0.0868685418920284	0.0113730444162796	0.00111862354545351	0.0829738413059435	0.0105289177172784	0.0016534846847238	0.0928084683211132	0.0123392552033579
5001	0.000390491257036479	0.0576496180728345	0.00650706768861068	0.00159219018696048	0.092451031504834	0.0116193781360272	0.000607810389552199	0.0733726379906501	0.00901823889324387	0.000476780079575911	0.0694441002395267	0.00829212861255833	0.000737859206586859	0.0782085075613338	0.00980292278208283
6001	0.000153293375327482	0.0499092066883192	0.0049247964243502	0.000778609311518286	0.0818239301395882	0.00911128814083835	0.000256398196730851	0.0632409971922471	0.00726132351044354	0.000212557816087603	0.0600164345625147	0.00667812405699606	0.000321702924608852	0.0670345184050778	0.00781732678104746
7001	6.32446749203802e-05	0.0436295185897692	0.00394369615332208	0.00036608217113896	0.071985030193998	0.0074924707066934	0.000112420546974322	0.0554263670151411	0.00578849577194739	9.75079380377619e-05	0.0523548666796044	0.00548554103712214	0.000147014272517162	0.0593041690786069	0.00650092935978198
8001	2.80527076948986e-05	0.0382303423001156	0.00348173152401455	0.000173002857257684	0.063698611736642	0.00625594754415614	5.31991201233798e-05	0.0494896329341231	0.00492317697339054	4.28417854347862e-05	0.0460771624170357	0.00458128457419851	6.70972271832063e-05	0.0524749646332962	0.0055553027507227
9001	1.24223830125697e-05	0.034452470593703	0.00267582230976353	7.44927089475698e-05	0.0574802380124957	0.00543198667724847	2.4398798689097e-05	0.0442562324020001	0.00427011293299307	1.91520673206724e-05	0.0414914099817835	0.0038424117462959	3.14930842654899e-05	0.0472881118027814	0.00471451004849399
10001	5.05432252692359e-06	0.0309783330101015	0.00221902507696199	3.51984615973407e-05	0.0524297975411294	0.00483536879565329	1.12104094347706e-05	0.0403893434854902	0.00375077004445236	8.98704604026949e-06	0.0378508606740042	0.00333120581694624	1.54340914614207e-05	0.0428800255574134	0.00410657175020165
11001	2.1544370820742e-06	0.0282362980760204	0.0018621494163361	1.79984231947795e-05	0.0474753243742086	0.0044591462329052	5.18518223734678e-06	0.0365482880273478	0.00325565231553085	3.98962376831573e-06	0.0344448454261608	0.00289484235063284	7.41407809868669e-06	0.0391460088108678	0.00361575828257296
12001	8.99387825796026e-07	0.0261088943445998	0.00144203174664174	1.00661266708576e-05	0.0444230730444507	0.00396914684086773	2.40638283466973e-06	0.0338722616788373	0.00299588159732086	1.81971882697498e-06	0.031665557786629	0.00257775204000416	3.40534590251949e-06	0.0358762744241199	0.00320335830199084
13001	4.14703736173429e-07	0.0242439618985439	0.00125435992956369	5.10588411134831e-06	0.0413299892917277	0.00344326360582716	1.15714476544047e-06	0.0310962114850939	0.0026993402122783	7.95695625007294e-07	0.029182212103597	0.00234249481156746	1.69446807583008e-06	0.0330689986666256	0.00290251032815211
14001	1.81508855573285e-07	0.0220379982916179	0.00107919712845018	2.39175153358074e-06	0.0384764001656717	0.00315796870153609	5.42226598647756e-07	0.02881533817616	0.00236289346700661	3.72606658876956e-07	0.0272925379283758	0.00204144183080841	7.88103896230536e-07	0.0306875102738554	0.00265035917013383
15001	8.16856576016524e-08	0.0206918569681837	0.000843948023203574	1.30822407849588e-06	0.0361902753470112	0.00281930445037988	2.77307908660823e-07	0.0268198310287245	0.00216184099620574	1.70663924374551e-07	0.0255198474933642	0.00183861113834493	3.63037126838261e-07	0.0285350989488835	0.00240729460541682
16001	3.55590190611501e-08	0.0189437454297448	0.000775097509671284	7.02294485886124e-07	0.0343010370734741	0.00264906371214777	1.28490148678897e-07	0.024876278200618	0.00197126091480898	7.89302445465801e-08	0.0236505420005997	0.00170623827112717	1.72376997503925e-07	0.0263441142830269	0.00222384939767063
17001	1.65660210465482e-08	0.0179073408253715	0.000613301841040003	3.80397354219149e-07	0.0318863570396438	0.00238234684039258	5.88060041578039e-08	0.0234935525076494	0.00182055984113558	3.43031894253936e-08	0.0220111119914909	0.0015164659891183	8.66210323944775e-08	0.0250151577239675	0.0020569768448862
18001	7.36995989994031e-09	0.016660882636489	0.000535562919544627	1.96549028219437e-07	0.0298561453552504	0.00234583147042987	2.87606457625997e-08	0.0221337555736653	0.00168261573070066	1.64657257092137e-08	0.0208780607790534	0.00143376024615512	4.64904169133779e-08	0.0236039318086035	0.00190245029688155
19001	3.11127276375152e-09	0.0155173013498289	0.000475245949714694	1.06876204340018e-07	0.0282344553737987	0.00211991397579966	1.3743670390225e-08	0.0209021614928649	0.00153419417121876	7.31643174479459e-09	0.0196278367318183	0.00131406448963976	2.22409886993709e-08	0.0220809545428696	0.00174183179821002
20001	1.49178411388604e-09	0.0146072556675441	0.000402962522627009	5.51008382988543e-08	0.0266620469852472	0.00194407437975824	6.1215031316882e-09	0.0198700648784044	0.0014129299069843	3.35901272738559e-09	0.0184730064111387	0.00116622956442147	1.17565922729782e-08	0.020940175733784	0.00162948461961168
21001	7.07041630494878e-10	0.0138814725373408	0.000367861536895074	3.06598048096035e-08	0.0255474262400548	0.00198331507574073	2.74531916933289e-09	0.018729016425336	0.00130160059272827	1.54136990340599e-09	0.0173878951967403	0.00108232487760298	6.20122816912362e-09	0.0197849263378833	0.00150393605092452
22001	3.20267785463189e-10	0.012980768969073	0.000295875453434267	1.53927316044494e-08	0.0239040445338611	0.00177350085769061	1.33134027413448e-09	0.017731675427208	0.00124804857087675	7.20765535821072e-10	0.0165085709718902	0.000988328787992581	3.08606056477919e-09	0.0188443558803089	0.00142737816788981
23001	1.55567175412068e-10	0.0123466487315028	0.000276452035399195	7.85666395979401e-09	0.0231097958522903	0.00167626137220264	6.6457892088085e-10	0.0168689796430858	0.00116513409834615	3.39537033471268e-10	0.0157108379494897	0.000969154514376379	1.52503731193874e-09	0.0180232744003133	0.00136464844404042
24001	6.43938347680707e-11	0.0118592445210576	0.000243196397228309	3.83727363968509e-09	0.021865103978231	0.00173904544144412	3.16860504431787e-10	0.0158903835438291	0.00107711342384686	1.50260828798626e-10	0.0149116263808643	0.000880582818099801	7.93182045453842e-10	0.017231101044741	0.00130170817518334
25001	3.2611166819102e-11	0.0112457183018423	0.000213480181042294	2.16892610636741e-09	0.0210738499484757	0.00142113228675736	1.48988628502275e-10	0.0152372875640103	0.00102446207654286	7.14885032627549e-11	0.0143021660541388	0.000827695661266332	3.64285921246632e-10	0.0163756788813095	0.00123565199551208
26001	1.68186579266343e-11	0.0106850802956193	0.000169648658846037	1.01653177400004e-09	0.0200500804788832	0.00136216083763407	7.07914409825134e-11	0.0145135909748033	0.000989323527947536	3.29987370428575e-11	0.013560114931645	0.000769544465486355	1.64900935682756e-10	0.0156390361687338	0.00113768080776837
27001	7.830498743341e-12	0.0102395962431653	0.000144798024870485	5.63234044370431e-10	0.0192529465880469	0.00140341031519825	3.32244033083181e-11	0.0137788769773427	0.00092637648436892	1.63194963820303e-11	0.0129016400673557	0.000715628865294214	7.59216300607698e-11	0.0149934549753876	0.00108794030378638
28001	3.54956093538108e-12	0.00990256464997897	0.000132971737710267	3.40746488793214e-10	0.0185340149308609	0.00131527380216572	1.56987682392141e-11	0.0132468467277542	0.000873016086612066	7.64369250813855e-12	0.0123662810809371	0.00067934515261064	3.90148396060313e-11	0.0143188334060266	0.00105489402119815
29001	1.66023561558521e-12	0.00931735616546561	0.000116248684256449	1.77176760817719e-10	0.0177874878229406	0.00117572411499252	7.39047962619819e-12	0.0126836968978819	0.000846170433745463	3.50488165785683e-12	0.0118509692434802	0.000643781852291693	1.9949486659662e-11	0.0137322470558608	0.00101033177415935
30001	7.87926520564509e-13	0.00896644209428522	0.000103839427994504	8.44879601551462e-11	0.0172440685921349	0.00119767024611276	3.60438771787237e-12	0.0121741040421936	0.000787762996404076	1.73442727753156e-12	0.0114204628742196	0.000588582653239105	9.63904995446027e-12	0.0132080266568153	0.000947174077119411
31001	3.47083933273258e-13	0.00858698627421656	9.4406909901785e-05	4.5137069808064e-11	0.0165139865721508	0.00107470884344543	1.79407225294007e-12	0.0117175207324116	0.000770389011262249	8.44859236577575e-13	0.0109084413988578	0.000565173391187184	5.11352348631123e-12	0.0125989296560722	0.000905966455644574
32001	1.53218803860973e-13	0.00828884304269359	8.80775245951765e-05	2.39094289962769e-11	0.0159480036473893	0.00111499826115336	8.43756971828658e-13	0.0112396091605964	0.000721828879773612	3.95639786991349e-13	0.0106100186229087	0.000535136128920729	2.48850198120968e-12	0.0120985655655937	0.00087630476097153
33001	7.22614047959859e-14	0.00794142478767828	7.4530625111701e-05	1.33919053124015e-11	0.0154235651427206	0.00100103670662461	3.94401140369632e-13	0.0108262477059601	0.000719620114872888	1.92998682033219e-13	0.0101127200022057	0.000498557833135701	1.32364456659993e-12	0.0116383508940643	0.0008190010335844
34001	3.47357424240376e-14	0.00763819593025583	6.47548866108276e-05	7.0483962498966e-12	0.0147135463365935	0.000925566318140472	1.97878422239263e-13	0.010432206334071	0.000650105943884819	8.86934566013312e-14	0.00975835438640594	0.000483803206615013	6.7699084603852e-13	0.0111802283013178	0.000793152476934869
35001	1.69807351112362e-14	0.00738212699656657	5.62665849315056e-05	3.39635407231488e-12	0.0142416792202225	0.000928299972001853	8.97821737730926e-14	0.0100004335471321	0.000629990794946847	3.98165023583244e-14	0.00941377382484546	0.000470370761840066	3.07825470490781e-13	0.0108631704460762	0.000767211109305297
36001	8.16201635855841e-15	0.00710241981235542	5.31336347253249e-05	1.71676982546966e-12	0.0136618406732266	0.000921998197982274	4.45559343211298e-14	0.00971574771368245	0.000565743384704408	1.82008248823716e-14	0.00908291005539697	0.000440236661763115	1.50539515716715e-13	0.0104034295074067	0.000754035978341537
37001	4.28493298424983e-15	0.00686690417353251	4.49246777489128e-05	1.02622233871463e-12	0.0132460056192441	0.000860480878225431	2.08476836705483e-14	0.00938902108084654	0.000571550799790154	9.34749250928653e-15	0.00874084542420584	0.000426199862474422	7.51527332567262e-14	0.0100075614798994	0.000689702341837398
38001	2.6711660890485e-15	0.00659111753817332	4.42611485722891e-05	5.35710328076167e-13	0.0128439547642091	0.000854975205734564	1.02880353290669e-14	0.00897882704644675	0.000538037420179335	5.6554260066099e-15	0.00850121831759274	0.000406322464003892	4.23707002286847e-14	0.00971367549753261	0.000684448573391116
39001	3.68101457412446e-15	0.0064117576548862	3.57552268960001e-05	2.62642941798626e-13	0.0124691272873796	0.000852007639135028	6.28105106337792e-15	0.0086994050373128	0.000526641295671586	4.44373684013888e-15	0.00821328941546763	0.000375867459897875	2.02637005876636e-14	0.00945781690306211	0.000650722639515067
40001	2.91202831625655e-15	0.00619728166616374	3.13158527766292e-05	1.45367932364846e-13	0.0120170961386134	0.000808519062909659	4.49352361054062e-15	0.00846301262303225	0.000501832932204943	4.01235821902934e-15	0.00796035377204744	0.000351500576125957	1.1009769626196e-14	0.00917994384758998	0.000611753686009196
41001	2.70433379375556e-15	0.00603681580150735	2.93113188782267e-05	7.68005746395612e-14	0.0117378780482913	0.000777394578644441	4.39243682244686e-15	0.00817026572536987	0.000497184205630873	3.71173604089957e-15	0.00775462620814866	0.000337182524755185	6.5669063665979e-15	0.00886755935395526	0.000601218115984074
42001	2.86170811441302e-15	0.00579551694485437	2.55843534545958e-05	3.99033994070245e-14	0.0113191797988057	0.000751468811229902	3.95224945179232e-15	0.00793581320996354	0.000471699102736551	3.44556869297158e-15	0.00744873768954513	0.000322525498649426	4.85017848453043e-15	0.00864361880817351	0.000576059161686847
43001	3.109738575571e-15	0.00568369808962234	2.32670062575874e-05	2.11345203076249e-14	0.0108628487352763	0.000738570632011999	3.91901734959807e-15	0.00769399051878908	0.000452213116010818	3.55718630353018e-15	0.0072736085597152	0.000324651206287554	4.51846111036168e-15	0.00839995138511853	0.000572365199024197
44001	2.9697945588292e-15	0.00551766546646626	1.94106753813775e-05	1.07429308270075e-14	0.01064580437176	0.000707053222901264	3.75724290926366e-15	0.00746164986372656	0.000434301191207705	3.38540196846193e-15	0.00702722303826264	0.000300899055420272	4.27573448971359e-15	0.00816493217830509	0.000558439075302857
45001	2.66443816799167e-15	0.00536336805493935	2.01374336020672e-05	6.26819588548081e-15	0.0103003217331478	0.000700285110843565	3.73373444532454e-15	0.0072339813307633	0.000433493038312412	3.41497317365567e-15	0.00680990029363246	0.000292331354173276	4.1900816848633e-15	0.00792628655608551	0.000539854000531444
46001	2.78492356791974e-15	0.00519282835333576	1.66651491880137e-05	5.24359315875911e-15	0.00998370859621821	0.000640146591941727	3.85882313209759e-15	0.00701979734690644	0.00041500984075166	3.33691539285819e-15	0.0065935232774806	0.000279558648342043	4.16955107982991e-15	0.00772215530015096	0.000515438005919889
47001	3.06098540203497e-15	0.00496865561586964	1.48488711947969e-05	5.67759112528837e-15	0.00984076340453267	0.000650382494358531	3.74413313248449e-15	0.00685238926921851	0.00039462099334072	3.46875982347664e-15	0.00643288360458564	0.000270672540080907	3.98965290516511e-15	0.00748794400528987	0.000488192345262682
48001	2.68814000054786e-15	0.00492919656070308	1.40694298935611e-05	5.40948048506506e-15	0.00956542710578752	0.000666352869085666	3.76712185561474e-15	0.00664515383438913	0.000370117810790521	3.3244500410829e-15	0.00626058202982872	0.000265480438795856	4.07665607061276e-15	0.0072885025617307	0.000482337051654799
49001	2.93604638409028e-15	0.00475444097888426	1.24526927670655e-05	5.35449974211247e-15	0.00928515266070028	0.000604048670260389	3.8138775672069e-15	0.00644542310066979	0.000360452155856002	3.31595672352682e-15	0.0060550410626331	0.000254289579802622	4.08277913508035e-15	0.0071269991690717	0.000481766820644035
50001	2.70347111516347e-15	0.00461969386020151	1.0655322808371e-05	4.90061672659491e-15	0.00910310462577562	0.000568285094729164	3.78583198128522e-15	0.00626952550252626	0.000366190317181746	3.47598125769305e-15	0.00587777498212749	0.0002461252681869	4.11074185830543e-15	0.00694734092035954	0.000467042513939812
51001	2.84113389468311e-15	0.00446207187055282	9.97653374842566e-06	4.88238363670479e-15	0.00891221523658563	0.000622535509899019	3.67979261440852e-15	0.00616497299674584	0.000344512961838818	3.38175084426932e-15	0.00574119500702078	0.000236691112723886	4.09599074456201e-15	0.0067000612102955	0.000444379324904269
52001	2.91606628694088e-15	0.00435170806421437	9.53347260254179e-06	5.72948620410931e-15	0.00864824804984199	0.000588302697708328	3.90405580894976e-15	0.00593785911359621	0.000334331309261208	3.46804224168965e-15	0.00558749720924624	0.000236978768144038	4.26404919412577e-15	0.00661537858806407	0.000423933137803659
53001	2.82202369219725e-15	0.004269742231051	8.25406568305498e-06	4.77808817543662e-15	0.00838869789069253	0.000549341427944649	3.78198559594025e-15	0.00583377852143496	0.000327072241644096	3.46555951851492e-15	0.00548025975634159	0.000215726576800283	4.07163697835508e-15	0.00634186316467026	0.000408653561709279
54001	2.69875894430651e-15	0.00417328005224123	6.70347445923217e-06	5.49606154632137e-15	0.00832952277901639	0.000531013628489639	3.70323121745241e-15	0.00567693803467104	0.000318419336081688	3.35356920564075e-15	0.00530112760202785	0.000217588688606631	4.1532136501726e-15	0.00621846806020289	0.000415683324555931
