t	POCSmin	rNBKmin	NBKmin	POCSmax	rNBKmax	NBKmax	POCSmedian	rNBKmedian	NBKmedian	POCSquant25	rNBKquant25	NBKquant25	POCSquant75	rNBKquant75	NBKquant75
1	0.0190053261341632	0.0196351724020795	0.0159455533307981	0.0252103083743853	0.0272805898335055	0.0231609983104626	0.0224207390364443	0.0241649467302655	0.0185645081388107	0.0217718115177848	0.0232151739092335	0.0176560362565891	0.0234230175503023	0.0252685429744678	0.019608712417552
101	0.0164226312516027	0.0187804911524887	0.0118647630532685	0.0217377625344619	0.0258483010452633	0.017895682559776	0.0195476399512041	0.0229544289656629	0.0145589074805903	0.0188820152028034	0.0218821455114793	0.0134170199286372	0.020215180841279	0.0240815665618763	0.0152097881404568
201	0.0143753053056158	0.0178344614429763	0.00965703236457025	0.0195250917663726	0.0242794881380554	0.01378076137941	0.0172715048843314	0.0216692134154373	0.0113416083376883	0.0162486355986595	0.0208654514296681	0.0107251460832498	0.0178315887485379	0.0229679543458971	0.0122657428936144
301	0.0128901097425075	0.0170922755895139	0.00713716820945711	0.0176822668528296	0.0232285607342218	0.0118695235542132	0.0151936389677847	0.020511758847192	0.00929144933405635	0.0144706041917092	0.0197285850912667	0.00877740347799061	0.0158575445054826	0.0216246589433667	0.00994181778200862
401	0.0116782047007025	0.0163963029818084	0.00572776517368506	0.016070431241714	0.0219657183851217	0.0102227898955078	0.0134724590296617	0.0194649423841764	0.00752073891651191	0.0129977605435255	0.0188016903922769	0.00703484200137475	0.0142105502057987	0.0205485539764054	0.00816251785516249
501	0.0106419442988277	0.0155759309712032	0.00517673920057283	0.015095559680719	0.0210333430334455	0.00866870636748646	0.0123006158280871	0.0184515164042496	0.00636105016640047	0.011778656762865	0.0177882695216458	0.00582671445430258	0.0127502514606106	0.0194998893102391	0.00700006690255123
601	0.00941544033725405	0.0149840753790929	0.00402607402854665	0.0133125591682877	0.0200484641242245	0.0079875479017521	0.0110914784617291	0.0175361734587219	0.00552216109018959	0.0104893059168435	0.0169159117489607	0.00497256254879466	0.011617361484166	0.0184256120002498	0.00592778933177871
701	0.00861243223714496	0.0142113137932311	0.00339501667672726	0.0121027915528902	0.0189457358579157	0.00705155105200403	0.0101286202157566	0.0167553433103499	0.00462821596606738	0.00965800306031161	0.0160995951933091	0.00422383342242709	0.0106453079298567	0.0175274325138513	0.00522007320034054
801	0.00805031801248566	0.0134287585912848	0.00288084332150095	0.0111597464850727	0.0183464090098046	0.0062128597292431	0.00936782676896083	0.0160620209833571	0.00411122336946272	0.00890042339238855	0.0153069827979184	0.0036305899155433	0.0098433536696192	0.0166777716310276	0.0045649846678046
901	0.00729922143929925	0.012854906017251	0.00249112981161897	0.0104812166504489	0.017453393667999	0.00516752936214832	0.00867172040829215	0.0151864877776203	0.00347493634434165	0.00821541890076989	0.0146484455590611	0.00313243607572052	0.00911792802893005	0.0158259831658261	0.0038121811815728
1001	0.00680323070577675	0.0124619057076249	0.00224805076948752	0.00967384250634351	0.0167582470527952	0.00492610002154962	0.00800873535253844	0.0145202522624589	0.00309104414845566	0.00760922813973575	0.0139840958996458	0.00276602040632282	0.00853275419052528	0.0149917760467667	0.00343194848550761
1101	0.00615442407072912	0.0119404600304059	0.001891531007522	0.00881161480742711	0.0160618526855609	0.00408579975853076	0.00746670719147226	0.0139362986108141	0.00274370790989533	0.0071082899134402	0.0133311650455342	0.00240986547462438	0.00791025024283376	0.0144391651352094	0.00311407446563054
1201	0.00580206612262707	0.0113356585833253	0.00169677442404856	0.00846803641796389	0.0153767823696175	0.00376376548431697	0.00693557082119537	0.0133648888221497	0.00239029004637472	0.00663982820001475	0.012799847778685	0.00213824339164124	0.00742628737040038	0.0138473200418597	0.00268307567337991
1301	0.0054263796274123	0.0107103299517738	0.00146377407522742	0.00788411989123056	0.0148257910446509	0.00365814006035433	0.00659092305279254	0.012826729112929	0.00218085877414551	0.00614445902964009	0.0122317163115924	0.00190433478829176	0.00697394804314196	0.0132455235085963	0.00245472636613756
1401	0.0050672318554301	0.0102765932566889	0.00128853907840645	0.00724907625122405	0.0142897726947682	0.00272003459928664	0.00612654160788482	0.0123555468917439	0.0019381044115771	0.00569701637481326	0.0117480195240479	0.00170137626230735	0.0065454501922299	0.012721980902785	0.00220921607684515
1501	0.00467886037403973	0.00976818650733095	0.00118428028814982	0.007088734381536	0.0139472684395627	0.00256931739439966	0.00576523424457655	0.0118709451170161	0.00171942995002275	0.00536817081866719	0.0113707027982714	0.00155997856425132	0.0061674924893162	0.01221349191038	0.00201144957206828
1601	0.00444834487586114	0.00941307167928166	0.0011180276392658	0.006559788502007	0.013333419186501	0.00240763621982493	0.00541371083625342	0.0114258090751433	0.00158510870953317	0.00510957130084749	0.010915025648317	0.00144909633785732	0.00589986413541054	0.0117602806115302	0.00174602043850554
1701	0.00424433633043893	0.00903224107344395	0.00104046751713375	0.00623590807311934	0.0128279842180789	0.0022022100032849	0.00506468054514391	0.0109941805999717	0.00142683994160176	0.00481188798835427	0.0105725448386771	0.00129941700217431	0.00560745470237828	0.0113434544667705	0.00158078735515444
1801	0.00405568653523954	0.00877618473985266	0.000915162993978716	0.00578370281601354	0.0123617464899566	0.0018713664464064	0.0047949990357603	0.0105634394032311	0.0012996050129547	0.00455361215425049	0.0100938888927593	0.00118592560567316	0.0052675110357795	0.010919861344843	0.00144632904800281
1901	0.00378524965992633	0.00844256282886046	0.000816468763152984	0.00558319718471226	0.0119818545964411	0.00171861556225032	0.00457905271665963	0.0101783142878612	0.00118153665165944	0.004310272533383	0.00980125978583872	0.00107202448261751	0.00500713196245655	0.0105295036590889	0.00135090248967551
2001	0.00362660586323961	0.00815900851415674	0.000731468831585483	0.00538088460922607	0.0115185492360011	0.00155818499077994	0.00436119588425336	0.00980935934704275	0.0010971377441397	0.00409195310821221	0.00941063600557685	0.000977351535630655	0.00484494293356026	0.0101775164083391	0.00121724506195841
2101	0.00346584718373914	0.00797841465556254	0.000643074608590932	0.00512222270691752	0.0111843088648838	0.00157066255468256	0.00419710241715909	0.0095324770487307	0.000972721099384805	0.00388378930594895	0.00901329400304139	0.000897832412095167	0.00458344413782411	0.00982921796969487	0.00109967907254111
2201	0.00325507028361254	0.00776758040327898	0.000581342118166722	0.0048134399403477	0.0109230468749034	0.0013095479993594	0.00403022499955619	0.00919345672047982	0.000933952806923716	0.00368754699964655	0.00879030003765191	0.000803242121465962	0.00434435105375391	0.00955059669957379	0.00104684862989165
2301	0.00307243891986775	0.00757405207006324	0.000549515964175684	0.00468559425197575	0.0105826737066305	0.00122949713786811	0.00388226156041533	0.00888074314149583	0.000843751621638763	0.00353897614988392	0.00855273122486569	0.000728409893786285	0.00410207042001798	0.00923758194675788	0.00096171613885347
2401	0.00287597018096984	0.00732501525603154	0.000507741439814601	0.00449357435741319	0.0102227779102037	0.00118920788187336	0.00368736394760899	0.0086233962262142	0.00076820770987893	0.00336311742801525	0.00826153119827718	0.000647820831449442	0.00397500296467181	0.00898441704300523	0.000906917600229099
2501	0.00280257620903522	0.00703316938641873	0.000480631896587873	0.00433920203278963	0.00998363436006015	0.00111912071977675	0.0035357151699963	0.00835095105967186	0.000712870845042185	0.00326140072085819	0.00800851109468601	0.000610506136527199	0.0037829643615384	0.00869240851469791	0.000827745809177432
2601	0.00263002134688105	0.00681018576089192	0.00045920776055719	0.00418098454585603	0.00969212867359326	0.000927533778411735	0.0033575242089844	0.00814289067708364	0.000643445991916392	0.0031237130185638	0.00774614704906624	0.00055206709696271	0.00358558694594168	0.00841511509890663	0.000764596774683197
2701	0.00252256948845831	0.00665668702098264	0.000386020019053557	0.00416730569335633	0.0093896602084771	0.00086601968482772	0.00321250708225509	0.00792974902725663	0.000580781012785106	0.002996823159698	0.00752527380667251	0.000512852574224204	0.00349471233637823	0.00822195240241664	0.000694380156565846
2801	0.00245217889797667	0.00649916784567774	0.000356423608390061	0.00405506068082238	0.00920802051400658	0.000834666387137235	0.00309541495351163	0.00771432253493597	0.000535601277592786	0.00286739079005207	0.0073072137218775	0.000459357360385531	0.00342285842020982	0.00800128740195886	0.000636965967800537
2901	0.00231106924974714	0.00631140403874427	0.000322505683614973	0.00391269412527541	0.00888032989589659	0.000827796630654626	0.00295572936197321	0.0075222201452976	0.00051037317510084	0.00274046239600953	0.00710453571675138	0.000422850749150903	0.00325613255911091	0.00780263375605475	0.000600335533799554
